Metric,Baseline,Optimized,Improvement (%)
Accuracy,0.72,0.792,10.000000000000009
Precision (Macro),0.723083099156965,0.7910091478556209,9.393947774170105
Recall (Macro),0.7235713481066641,0.7923204428780637,9.501356701214354
F1 (Macro),0.7199820788530467,0.7913456599897277,9.911855202058003
F1 (Weighted),0.7201523297491039,0.7922336928608115,10.009182798425464
Training Time (s),216.97251081466675,680.3872337341309,213.58222808017507
Inference Latency (ms/tweet),23.120093822479248,23.000216007232666,-0.5185005569918016
